ID=172 LEN=8 DATA=[AD CC D3 4A A8 85 03 6D]
ID=173 LEN=8 DATA=[B0 24 03 8B D7 7D 03 F8]
ID=174 LEN=8 DATA=[27 80 71 42 A6 69 03 79]
ID=175 LEN=8 DATA=[25 60 51 42 F7 75 03 EE]
ID=176 LEN=8 DATA=[24 60 41 82 F7 75 03 FC]
ID=177 LEN=8 DATA=[AE 90 E4 CA D7 79 03 8B]
ID=17C LEN=8 DATA=[48 3C 00 00 00 00 00 35]
ID=17D LEN=8 DATA=[EC DE BC EC 00 00 02 0B]
ID=170 LEN=8 DATA=[22 58 21 02 B7 71 00 18]
ID=171 LEN=8 DATA=[AB C4 B3 0A 78 81 00 CC]
ID=172 LEN=8 DATA=[AD CC D3 4A A8 85 00 4A]
ID=173 LEN=8 DATA=[B0 24 03 8B D7 7D 00 DF]
ID=174 LEN=8 DATA=[27 80 71 42 A6 69 00 5E]
ID=175 LEN=8 DATA=[25 60 51 42 F7 75 00 C9]
ID=176 LEN=8 DATA=[24 60 41 02 F7 75 00 EE]
ID=177 LEN=8 DATA=[AE 90 E4 CA D7 79 00 AC]
ID=17C LEN=8 DATA=[48 3C 00 00 00 08 00 6F]
ID=17D LEN=8 DATA=[EC DE BC EC 00 00 03 16]
ID=170 LEN=8 DATA=[22 58 21 02 B7 71 01 05]
ID=171 LEN=8 DATA=[AB C4 B3 0A 78 81 01 D1]
ID=172 LEN=8 DATA=[AD CC D3 4A A8 85 01 57]
ID=173 LEN=8 DATA=[B1 24 13 0B E8 81 01 7F]
ID=174 LEN=8 DATA=[27 80 71 42 A6 69 01 43]
ID=175 LEN=8 DATA=[25 60 51 42 F7 75 01 D4]
ID=176 LEN=8 DATA=[24 60 41 02 F7 75 01 F3]
ID=177 LEN=8 DATA=[AE 90 E4 4A C7 79 01 9C]
ID=17C LEN=8 DATA=[48 3C 00 00 00 10 00 81]
ID=17D LEN=8 DATA=[EC DE BC EC 00 00 00 31]
ID=170 LEN=8 DATA=[22 58 21 42 B7 71 02 B6]
ID=171 LEN=8 DATA=[AB C4 B3 0A 78 81 02 F6]
ID=172 LEN=8 DATA=[AD CC D3 4A A8 85 02 70]
ID=173 LEN=8 DATA=[B1 24 13 0B E8 81 02 58]
ID=174 LEN=8 DATA=[27 44 75 82 C6 69 02 D5]
ID=175 LEN=8 DATA=[25 60 51 42 F7 75 02 F3]
ID=176 LEN=8 DATA=[24 60 41 02 F7 75 02 D4]
